Symbol,Name,URL,yf_symbol,Currency,yf_name
BTCUSD,BTC/USD,https://finance.yahoo.com/quote/BTCUSD%3DX,BTCUSD=X,USD,BTC/USD
ETHUSD,ETH/USD,https://finance.yahoo.com/quote/ETHUSD%3DX,ETHUSD=X,USD,ETH/USD
EURUSD,EUR/USD,https://finance.yahoo.com/quote/EURUSD%3DX,EURUSD=X,USD,EUR/USD
JPY,USD/JPY,https://finance.yahoo.com/quote/JPY%3DX,JPY=X,JPY,USD/JPY
GBPUSD,GBP/USD,https://finance.yahoo.com/quote/GBPUSD%3DX,GBPUSD=X,USD,GBP/USD
AUDUSD,AUD/USD,https://finance.yahoo.com/quote/AUDUSD%3DX,AUDUSD=X,USD,AUD/USD
NZDUSD,NZD/USD,https://finance.yahoo.com/quote/NZDUSD%3DX,NZDUSD=X,USD,NZD/USD
EURJPY,EUR/JPY,https://finance.yahoo.com/quote/EURJPY%3DX,EURJPY=X,JPY,EUR/JPY
GBPJPY,GBP/JPY,https://finance.yahoo.com/quote/GBPJPY%3DX,GBPJPY=X,JPY,GBP/JPY
EURGBP,EUR/GBP,https://finance.yahoo.com/quote/EURGBP%3DX,EURGBP=X,GBP,EUR/GBP
EURCAD,EUR/CAD,https://finance.yahoo.com/quote/EURCAD%3DX,EURCAD=X,CAD,EUR/CAD
EURSEK,EUR/SEK,https://finance.yahoo.com/quote/EURSEK%3DX,EURSEK=X,SEK,EUR/SEK
EURCHF,EUR/CHF,https://finance.yahoo.com/quote/EURCHF%3DX,EURCHF=X,CHF,EUR/CHF
EURHUF,EUR/HUF,https://finance.yahoo.com/quote/EURHUF%3DX,EURHUF=X,HUF,EUR/HUF
EURJPY,EUR/JPY,https://finance.yahoo.com/quote/EURJPY%3DX,EURJPY=X,JPY,EUR/JPY
CNY,USD/CNY,https://finance.yahoo.com/quote/CNY%3DX,CNY=X,CNY,USD/CNY
HKD,USD/HKD,https://finance.yahoo.com/quote/HKD%3DX,HKD=X,HKD,USD/HKD
SGD,USD/SGD,https://finance.yahoo.com/quote/SGD%3DX,SGD=X,SGD,USD/SGD
INR,USD/INR,https://finance.yahoo.com/quote/INR%3DX,INR=X,INR,USD/INR
MXN,USD/MXN,https://finance.yahoo.com/quote/MXN%3DX,MXN=X,MXN,USD/MXN
PHP,USD/PHP,https://finance.yahoo.com/quote/PHP%3DX,PHP=X,PHP,USD/PHP
IDR,USD/IDR,https://finance.yahoo.com/quote/IDR%3DX,IDR=X,IDR,USD/IDR
THB,USD/THB,https://finance.yahoo.com/quote/THB%3DX,THB=X,THB,USD/THB
MYR,USD/MYR,https://finance.yahoo.com/quote/MYR%3DX,MYR=X,MYR,USD/MYR
ZAR,USD/ZAR,https://finance.yahoo.com/quote/ZAR%3DX,ZAR=X,ZAR,USD/ZAR
RUB,USD/RUB,https://finance.yahoo.com/quote/RUB%3DX,RUB=X,RUB,USD/RUB
