Name,Symbol,URL
Prime Securities,PRIMESECU.NS,https://in.finance.yahoo.com/quote/PRIMESECU.NS/
Indian Energy Ex,IEX.NS,https://in.finance.yahoo.com/quote/IEX.NS/
Sh. Digvijay Cem,SHREDIGCEM.BO,https://in.finance.yahoo.com/quote/SHREDIGCEM.BO/
Nicco Parks,NICCOPAR.BO,https://in.finance.yahoo.com/quote/NICCOPAR.BO/
Vinyl Chemicals,VINYLINDIA.NS,https://in.finance.yahoo.com/quote/VINYLINDIA.NS/
United Drilling,UNIDT.BO,https://in.finance.yahoo.com/quote/UNIDT.BO/
Tyche Industries,TYCHE.BO,https://in.finance.yahoo.com/quote/TYCHE.BO/
Sanmit Infra,SANINFRA.BO,https://in.finance.yahoo.com/quote/SANINFRA.BO/
Alembic,ALEMBICLTD.NS,https://in.finance.yahoo.com/quote/ALEMBICLTD.NS/
Atlas Jewellery,AJIL.BO,https://in.finance.yahoo.com/quote/AJIL.BO/
Oswal Agro Mills,OSWALAGRO.BO,https://in.finance.yahoo.com/quote/OSWALAGRO.BO/
