Name,Symbol,Type
Resonance Speci.,RESONANCE.BO,small-cap
Tyche Industries,TYCHE.BO,small-cap
Sanmit Infra,SANINFRA.BO,small-cap
Coral India Fin.,CORALFINAC.BO,small-cap
Alembic,ALEMBICLTD.NS,small-cap
Atlas Jewellery,AJIL.BO,small-cap
Mercantile Vent.,MERCANTILE.BO,small-cap
Lotus Eye Hospit,LOTUSEYE.NS,small-cap
Oswal Agro Mills,OSWALAGRO.BO,small-cap
PTC India Limited,PTC.NS,small-cap
Pressman Advertising Limited,PRESSMN.NS,small-cap
Ador Fontech Limited,ADORFO.BO,small-cap
Bhagyanagar Properties Limited,BHAGYAPROP.BO,small-cap
The Andhra Petrochemicals Limited,ANDHRAPET.BO,small-cap
Manali Petrochemicals Limited,MANALIPETC.BO,small-cap
Kriti Industries (India) Limited,KRITIIND.BO,small-cap
Prime Securities,PRIMESECU.NS,mid-cap
Indian Energy Ex,IEX.NS,mid-cap
Sh. Digvijay Cem,SHREDIGCEM.BO,mid-cap
Nicco Parks,NICCOPAR.BO,mid-cap
Vinyl Chemicals,VINYLINDIA.NS,mid-cap
United Drilling,UNIDT.BO,mid-cap
Auro Laboratories Limited,AUROLAB.BO,mid-cap
The Federal Bank Limited,FEDERALBNK.NS,mid-cap
Vodafone Idea Limited,IDEA.NS,mid-cap
Alok Industries Limited,ALOKTEXT.BO,mid-cap
Bank of Baroda,BANKBARODA.BO,mid-cap
Dish TV India Limited,DISHTV.BO,mid-cap
Vedanta Limited,VEDL.BO,mid-cap
State Bank of India,SBIN.NS,large-cap
Axis Bank Limited,AXISBANK.BO,large-cap
Indian Oil Corporation Limited,IOC.BO,large-cap
NMDC Limited,NMDC.BO,large-cap
The Tata Power Company Limited,TATAPOWER.NS,large-cap
Gas Authority of India Limited,GAIL.NS,large-cap
Steel Authority of India Limited,SAIL.NS,large-cap
HDFC Bank Limited,HDFCBANK.BO,large-cap
Oil and Natural Gas Corporation Limited,ONGC.NS,large-cap
Infosys Limited,INFY.BO,large-cap
Wipro Limited,WIPRO.BO,large-cap
Bharat Heavy Electricals Limited,BHEL.NS,large-cap
